condition,round,cq,id
control,2,5.394269349668519,ego_ctrl_1
control,2,5.971074975950404,ego_ctrl_2
control,2,5.090473106872166,ego_ctrl_3
control,2,3.147855887573029,ego_ctrl_4
control,2,6.021709315028298,ego_ctrl_5
control,2,5.049707447267528,ego_ctrl_6
control,2,4.898336457946727,ego_ctrl_7
control,2,4.889509384662942,ego_ctrl_8
control,2,4.7921129381388825,ego_ctrl_9
control,2,2.2715306890657625,ego_ctrl_10
control,2,7.608962628292031,ego_ctrl_11
control,2,3.5786635845668817,ego_ctrl_12
control,2,1,ego_ctrl_13
control,2,5.869326646277417,ego_ctrl_14
control,2,4.406283806850804,ego_ctrl_15
control,2,3.9495518444032673,ego_ctrl_16
control,2,3.2449428065285244,ego_ctrl_17
control,2,5.756133521287957,ego_ctrl_18
control,2,6.201305289281604,ego_ctrl_19
control,2,6.957707451116058,ego_ctrl_20
control,2,6.706561117049486,ego_ctrl_21
control,2,6.360858338661549,ego_ctrl_22
control,2,7.156722853649125,ego_ctrl_23
control,2,9.059572638849724,ego_ctrl_24
control,2,10.255786583270076,ego_ctrl_25
control,2,3.951741538637145,ego_ctrl_26
control,2,3.815297630222585,ego_ctrl_27
control,2,8.694955932133947,ego_ctrl_28
control,2,8.858012580494774,ego_ctrl_29
control,2,6.21947573,ego_ctrl_30
control,2,8.425425440982538,ego_ctrl_31
control,2,9.014676028412996,ego_ctrl_32
control,2,7.478980591728051,ego_ctrl_33
control,2,5.679776283,ego_ctrl_34
control,2,8.933324521643573,ego_ctrl_35
control,2,5.435564390679241,ego_ctrl_36
control,2,4.0132862295876315,ego_ctrl_37
control,2,4.653944107604163,ego_ctrl_38
control,2,5.3110803021351884,ego_ctrl_39
control,2,6.839474262312509,ego_ctrl_40
control,2,5.056847244209068,ego_ctrl_41
control,2,13.000544553636368,ego_ctrl_42
control,2,8.315009985095347,ego_ctrl_43
control,2,10.43178955531995,ego_ctrl_44
control,2,7.2412759923128736,ego_ctrl_45
control,2,8.526856238323973,ego_ctrl_46
control,2,11.56601553553996,ego_ctrl_47
control,2,4.896054003348711,ego_ctrl_48
control,2,6.127021255867337,ego_ctrl_49
control,2,4.124442764380227,ego_ctrl_50
control,2,7.866865438261058,ego_ctrl_51
control,2,7.287481448495449,ego_ctrl_52
control,2,6.673212076729909,ego_ctrl_53
control,2,6.788297561112428,ego_ctrl_54
control,2,6.088287504012441,ego_ctrl_55
