condition,round,gini,trial_id
control,2,0.23148148148148148,1
control,2,0.16666666666666666,2
control,2,0.37037037037037035,3
control,2,0.3888888888888889,7
control,2,0.42592592592592593,4
control,2,0.25925925925925924,5
control,2,0.3425925925925926,8
control,2,0.4351851851851852,6
control,2,0.2777777777777778,9
control,2,0.3148148148148148,10
treatment,2,0.26851851851851855,1
treatment,2,0.26851851851851855,2
treatment,2,0.3055555555555556,3
treatment,2,0.25925925925925924,4
treatment,2,0.24074074074074073,5
treatment,2,0.2777777777777778,6
treatment,2,0.16666666666666666,7
treatment,2,0.18518518518518517,8
treatment,2,0.1574074074074074,9
treatment,2,0.1388888888888889,10
control,3,0.2777777777777778,1
control,3,0.35185185185185186,2
control,3,0.3611111111111111,3
control,3,0.39814814814814814,7
control,3,0.36666666666666664,4
control,3,0.2777777777777778,5
control,3,0.17592592592592593,8
control,3,0.4444444444444444,6
control,3,0.37037037037037035,9
control,3,0.2777777777777778,10
treatment,3,0.3611111111111111,1
treatment,3,0.2777777777777778,2
treatment,3,0.2777777777777778,3
treatment,3,0.23148148148148148,4
treatment,3,0.2222222222222222,5
treatment,3,0.3055555555555556,6
treatment,3,0.2777777777777778,7
treatment,3,0.14814814814814814,8
treatment,3,0.16666666666666666,9
treatment,3,0.14814814814814814,10
control,4,0.3055555555555556,1
control,4,0.39814814814814814,2
control,4,0.3425925925925926,3
control,4,0.4074074074074074,7
control,4,0.23148148148148148,4
control,4,0.3333333333333333,5
control,4,0.25,8
control,4,0.4074074074074074,6
control,4,0.2962962962962963,9
control,4,0.21296296296296297,10
treatment,4,0.46296296296296297,1
treatment,4,0.3333333333333333,2
treatment,4,0.28703703703703703,3
treatment,4,0.25,4
treatment,4,0.21296296296296297,5
treatment,4,0.19444444444444445,6
treatment,4,0.2962962962962963,7
treatment,4,0.24074074074074073,8
treatment,4,0.17592592592592593,9
treatment,4,0.074074074,10
control,5,0.32407407407407407,1
control,5,0.3333333333333333,2
control,5,0.35185185185185186,3
control,5,0.37962962962962965,7
control,5,0.2777777777777778,4
control,5,0.3333333333333333,5
control,5,0.24074074074074073,8
control,5,0.39814814814814814,6
control,5,0.35185185185185186,9
control,5,0.26851851851851855,10
treatment,5,0.26851851851851855,1
treatment,5,0.2777777777777778,2
treatment,5,0.3333333333333333,3
treatment,5,0.3333333333333333,4
treatment,5,0.2962962962962963,5
treatment,5,0.2962962962962963,6
treatment,5,0.24074074074074073,7
treatment,5,0.18518518518518517,8
treatment,5,0.2037037037037037,9
treatment,5,0.16666666666666666,10
control,6,0.3611111111111111,1
control,6,0.3611111111111111,2
control,6,0.3333333333333333,3
control,6,0.3425925925925926,7
control,6,0.35185185185185186,4
control,6,0.24074074074074073,5
control,6,0.25925925925925924,8
control,6,0.42592592592592593,6
control,6,0.3333333333333333,9
control,6,0.26851851851851855,10
treatment,6,0.3888888888888889,1
treatment,6,0.21296296296296297,2
treatment,6,0.3888888888888889,3
treatment,6,0.28703703703703703,4
treatment,6,0.3333333333333333,5
treatment,6,0.2962962962962963,6
treatment,6,0.25925925925925924,7
treatment,6,0.23148148148148148,8
treatment,6,0.24074074074074073,9
treatment,6,0.14814814814814814,10
