condition,networksize,gini
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.16666666666666666
control,5,0.23333333333333334
control,6,0.2222222222222222
control,7,0.21428571428571427
control,8,0.14583333333333334
control,9,0.16666666666666666
control,10,0.16666666666666666
control,11,0.21212121212121213
control,12,0.25
control,13,0.2564102564102564
control,14,0.2857142857142857
control,15,0.24444444444444444
control,16,0.21875
control,17,0.24509803921568626
control,18,0.23148148148148148
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.1
control,7,0.21428571428571427
control,8,0.1875
control,9,0.2222222222222222
control,10,0.23333333333333334
control,11,0.24242424242424243
control,12,0.25
control,13,0.2564102564102564
control,14,0.2857142857142857
control,15,0.2777777777777778
control,16,0.28125
control,17,0.29411764705882354
control,18,0.2777777777777778
control,1,0
control,2,0
control,3,0
control,4,0.16666666666666666
control,5,0.13333333333333333
control,6,0.1388888888888889
control,7,0.21428571428571427
control,8,0.14583333333333334
control,9,0.16666666666666666
control,10,0.15
control,11,0.18181818181818182
control,12,0.2222222222222222
control,13,0.21794871794871795
control,14,0.2261904761904762
control,15,0.25555555555555554
control,16,0.28125
control,17,0.29411764705882354
control,18,0.3055555555555556
control,1,0
control,2,0
control,3,0
control,4,0.16666666666666666
control,5,0.13333333333333333
control,6,0.1388888888888889
control,7,0.11904761904761904
control,8,0.1875
control,9,0.2222222222222222
control,10,0.21666666666666667
control,11,0.24242424242424243
control,12,0.2777777777777778
control,13,0.2692307692307692
control,14,0.27380952380952384
control,15,0.3
control,16,0.3229166666666667
control,17,0.3333333333333333
control,18,0.32407407407407407
control,1,0
control,2,0
control,3,0
control,4,0.16666666666666666
control,5,0.13333333333333333
control,6,0.1388888888888889
control,7,0.11904761904761904
control,8,0.1875
control,9,0.2222222222222222
control,10,0.21666666666666667
control,11,0.24242424242424243
control,12,0.2777777777777778
control,13,0.2692307692307692
control,14,0.27380952380952384
control,15,0.3
control,16,0.3229166666666667
control,17,0.3431372549019608
control,18,0.3611111111111111
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.1388888888888889
control,7,0.21428571428571427
control,8,0.1875
control,9,0.16666666666666666
control,10,0.2
control,11,0.24242424242424243
control,12,0.18055555555555555
control,13,0.1794871794871795
control,14,0.15476190476190477
control,15,0.16666666666666666
control,16,0.1875
control,17,0.17647058823529413
control,18,0.16666666666666666
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.15
control,6,0.20833333333333334
control,7,0.21428571428571427
control,8,0.25
control,9,0.16666666666666666
control,10,0.2
control,11,0.22727272727272727
control,12,0.3333333333333333
