marginal_distinct_cnt,condition,round,network_size,id
6,treatment,2,1,ego_trt_1
3,treatment,2,2,ego_trt_2
3,treatment,2,3,ego_trt_3
1,treatment,2,4,ego_trt_4
3,treatment,2,5,ego_trt_5
2,treatment,2,6,ego_trt_6
3,treatment,2,7,ego_trt_7
3,treatment,2,8,ego_trt_8
3,treatment,2,9,ego_trt_9
3,treatment,2,10,ego_trt_10
4,treatment,2,11,ego_trt_11
1,treatment,2,12,ego_trt_12
1,treatment,2,13,ego_trt_13
1,treatment,2,14,ego_trt_14
4,treatment,2,15,ego_trt_15
0,treatment,2,16,ego_trt_16
3,treatment,2,17,ego_trt_17
3,treatment,2,18,ego_trt_18
5,treatment,3,1,ego_trt_1
2,treatment,3,2,ego_trt_2
5,treatment,3,3,ego_trt_3
2,treatment,3,4,ego_trt_4
4,treatment,3,5,ego_trt_5
6,treatment,3,6,ego_trt_6
5,treatment,3,7,ego_trt_7
2,treatment,3,8,ego_trt_8
2,treatment,3,9,ego_trt_9
3,treatment,3,10,ego_trt_10
3,treatment,3,11,ego_trt_11
1,treatment,3,12,ego_trt_12
1,treatment,3,13,ego_trt_13
1,treatment,3,14,ego_trt_14
4,treatment,3,15,ego_trt_15
2,treatment,3,16,ego_trt_16
5,treatment,3,17,ego_trt_17
1,treatment,3,18,ego_trt_18
6,treatment,4,1,ego_trt_1
4,treatment,4,2,ego_trt_2
4,treatment,4,3,ego_trt_3
4,treatment,4,4,ego_trt_4
6,treatment,4,5,ego_trt_5
2,treatment,4,6,ego_trt_6
6,treatment,4,7,ego_trt_7
5,treatment,4,8,ego_trt_8
3,treatment,4,9,ego_trt_9
4,treatment,4,10,ego_trt_10
4,treatment,4,11,ego_trt_11
1,treatment,4,12,ego_trt_12
1,treatment,4,13,ego_trt_13
1,treatment,4,14,ego_trt_14
2,treatment,4,15,ego_trt_15
0,treatment,4,16,ego_trt_16
4,treatment,4,17,ego_trt_17
3,treatment,4,18,ego_trt_18
6,treatment,5,1,ego_trt_1
4,treatment,5,2,ego_trt_2
4,treatment,5,3,ego_trt_3
3,treatment,5,4,ego_trt_4
1,treatment,5,5,ego_trt_5
4,treatment,5,6,ego_trt_6
5,treatment,5,7,ego_trt_7
5,treatment,5,8,ego_trt_8
3,treatment,5,9,ego_trt_9
2,treatment,5,10,ego_trt_10
3,treatment,5,11,ego_trt_11
1,treatment,5,12,ego_trt_12
3,treatment,5,13,ego_trt_13
0,treatment,5,14,ego_trt_14
6,treatment,5,15,ego_trt_15
4,treatment,5,16,ego_trt_16
6,treatment,5,17,ego_trt_17
4,treatment,5,18,ego_trt_18
6,treatment,2,1,ego_trt_19
5,treatment,2,2,ego_trt_20
3,treatment,2,3,ego_trt_21
4,treatment,2,4,ego_trt_22
3,treatment,2,5,ego_trt_23
3,treatment,2,6,ego_trt_24
3,treatment,2,7,ego_trt_25
2,treatment,2,8,ego_trt_26
5,treatment,2,9,ego_trt_27
2,treatment,2,10,ego_trt_28
4,treatment,2,11,ego_trt_29
4,treatment,2,12,ego_trt_30
2,treatment,2,13,ego_trt_31
1,treatment,2,14,ego_trt_32
1,treatment,2,15,ego_trt_33
1,treatment,2,16,ego_trt_34
6,treatment,2,17,ego_trt_35
1,treatment,2,18,ego_trt_36
6,treatment,3,1,ego_trt_19
5,treatment,3,2,ego_trt_20
5,treatment,3,3,ego_trt_21
2,treatment,3,4,ego_trt_22
4,treatment,3,5,ego_trt_23
3,treatment,3,6,ego_trt_24
4,treatment,3,7,ego_trt_25
4,treatment,3,8,ego_trt_26
5,treatment,3,9,ego_trt_27
2,treatment,3,10,ego_trt_28
3,treatment,3,11,ego_trt_29
6,treatment,3,12,ego_trt_30
1,treatment,3,13,ego_trt_31
4,treatment,3,14,ego_trt_32
3,treatment,3,15,ego_trt_33
2,treatment,3,16,ego_trt_34
1,treatment,3,17,ego_trt_35
3,treatment,3,18,ego_trt_36
6,treatment,4,1,ego_trt_19
6,treatment,4,2,ego_trt_20
4,treatment,4,3,ego_trt_21
4,treatment,4,4,ego_trt_22
3,treatment,4,5,ego_trt_23
3,treatment,4,6,ego_trt_24
4,treatment,4,7,ego_trt_25
3,treatment,4,8,ego_trt_26
5,treatment,4,9,ego_trt_27
2,treatment,4,10,ego_trt_28
2,treatment,4,11,ego_trt_29
4,treatment,4,12,ego_trt_30
2,treatment,4,13,ego_trt_31
2,treatment,4,14,ego_trt_32
2,treatment,4,15,ego_trt_33
3,treatment,4,16,ego_trt_34
2,treatment,4,17,ego_trt_35
1,treatment,4,18,ego_trt_36
6,treatment,5,1,ego_trt_19
3,treatment,5,2,ego_trt_20
5,treatment,5,3,ego_trt_21
3,treatment,5,4,ego_trt_22
5,treatment,5,5,ego_trt_23
3,treatment,5,6,ego_trt_24
3,treatment,5,7,ego_trt_25
5,treatment,5,8,ego_trt_26
4,treatment,5,9,ego_trt_27
3,treatment,5,10,ego_trt_28
4,treatment,5,11,ego_trt_29
3,treatment,5,12,ego_trt_30
1,treatment,5,13,ego_trt_31
3,treatment,5,14,ego_trt_32
1,treatment,5,15,ego_trt_33
2,treatment,5,16,ego_trt_34
4,treatment,5,17,ego_trt_35
2,treatment,5,18,ego_trt_36
4,treatment,2,1,ego_trt_37
4,treatment,2,2,ego_trt_38
3,treatment,2,3,ego_trt_39
2,treatment,2,4,ego_trt_40
2,treatment,2,5,ego_trt_41
3,treatment,2,6,ego_trt_42
3,treatment,2,7,ego_trt_43
1,treatment,2,8,ego_trt_44
4,treatment,2,9,ego_trt_45
4,treatment,2,10,ego_trt_46
1,treatment,2,11,ego_trt_47
0,treatment,2,12,ego_trt_48
2,treatment,2,13,ego_trt_49
1,treatment,2,14,ego_trt_50
2,treatment,2,15,ego_trt_51
4,treatment,2,16,ego_trt_52
2,treatment,2,17,ego_trt_53
1,treatment,2,18,ego_trt_54
4,treatment,3,1,ego_trt_37
4,treatment,3,2,ego_trt_38
4,treatment,3,3,ego_trt_39
4,treatment,3,4,ego_trt_40
4,treatment,3,5,ego_trt_41
3,treatment,3,6,ego_trt_42
3,treatment,3,7,ego_trt_43
1,treatment,3,8,ego_trt_44
3,treatment,3,9,ego_trt_45
4,treatment,3,10,ego_trt_46
2,treatment,3,11,ego_trt_47
2,treatment,3,12,ego_trt_48
1,treatment,3,13,ego_trt_49
2,treatment,3,14,ego_trt_50
1,treatment,3,15,ego_trt_51
2,treatment,3,16,ego_trt_52
4,treatment,3,17,ego_trt_53
3,treatment,3,18,ego_trt_54
6,treatment,4,1,ego_trt_37
4,treatment,4,2,ego_trt_38
3,treatment,4,3,ego_trt_39
2,treatment,4,4,ego_trt_40
4,treatment,4,5,ego_trt_41
3,treatment,4,6,ego_trt_42
4,treatment,4,7,ego_trt_43
3,treatment,4,8,ego_trt_44
2,treatment,4,9,ego_trt_45
3,treatment,4,10,ego_trt_46
3,treatment,4,11,ego_trt_47
4,treatment,4,12,ego_trt_48
2,treatment,4,13,ego_trt_49
3,treatment,4,14,ego_trt_50
3,treatment,4,15,ego_trt_51
4,treatment,4,16,ego_trt_52
5,treatment,4,17,ego_trt_53
3,treatment,4,18,ego_trt_54
4,treatment,5,1,ego_trt_37
3,treatment,5,2,ego_trt_38
3,treatment,5,3,ego_trt_39
4,treatment,5,4,ego_trt_40
4,treatment,5,5,ego_trt_41
3,treatment,5,6,ego_trt_42
3,treatment,5,7,ego_trt_43
2,treatment,5,8,ego_trt_44
2,treatment,5,9,ego_trt_45
4,treatment,5,10,ego_trt_46
3,treatment,5,11,ego_trt_47
4,treatment,5,12,ego_trt_48
3,treatment,5,13,ego_trt_49
3,treatment,5,14,ego_trt_50
1,treatment,5,15,ego_trt_51
4,treatment,5,16,ego_trt_52
4,treatment,5,17,ego_trt_53
3,treatment,5,18,ego_trt_54
3,treatment,2,1,ego_trt_55
3,treatment,2,2,ego_trt_56
5,treatment,2,3,ego_trt_57
1,treatment,2,4,ego_trt_58
4,treatment,2,5,ego_trt_59
1,treatment,2,6,ego_trt_60
3,treatment,2,7,ego_trt_61
4,treatment,2,8,ego_trt_62
3,treatment,2,9,ego_trt_63
3,treatment,2,10,ego_trt_64
4,treatment,2,11,ego_trt_65
3,treatment,2,12,ego_trt_66
1,treatment,2,13,ego_trt_67
1,treatment,2,14,ego_trt_68
2,treatment,2,15,ego_trt_69
1,treatment,2,16,ego_trt_70
3,treatment,2,17,ego_trt_71
3,treatment,2,18,ego_trt_72
4,treatment,3,1,ego_trt_55
4,treatment,3,2,ego_trt_56
5,treatment,3,3,ego_trt_57
3,treatment,3,4,ego_trt_58
3,treatment,3,5,ego_trt_59
2,treatment,3,6,ego_trt_60
1,treatment,3,7,ego_trt_61
1,treatment,3,8,ego_trt_62
3,treatment,3,9,ego_trt_63
2,treatment,3,10,ego_trt_64
2,treatment,3,11,ego_trt_65
2,treatment,3,12,ego_trt_66
1,treatment,3,13,ego_trt_67
2,treatment,3,14,ego_trt_68
2,treatment,3,15,ego_trt_69
2,treatment,3,16,ego_trt_70
0,treatment,3,17,ego_trt_71
4,treatment,3,18,ego_trt_72
5,treatment,4,1,ego_trt_55
3,treatment,4,2,ego_trt_56
6,treatment,4,3,ego_trt_57
1,treatment,4,4,ego_trt_58
0,treatment,4,5,ego_trt_59
4,treatment,4,6,ego_trt_60
4,treatment,4,7,ego_trt_61
2,treatment,4,8,ego_trt_62
4,treatment,4,9,ego_trt_63
5,treatment,4,10,ego_trt_64
5,treatment,4,11,ego_trt_65
2,treatment,4,12,ego_trt_66
3,treatment,4,13,ego_trt_67
3,treatment,4,14,ego_trt_68
5,treatment,4,15,ego_trt_69
3,treatment,4,16,ego_trt_70
1,treatment,4,17,ego_trt_71
4,treatment,4,18,ego_trt_72
4,treatment,5,1,ego_trt_55
4,treatment,5,2,ego_trt_56
6,treatment,5,3,ego_trt_57
3,treatment,5,4,ego_trt_58
3,treatment,5,5,ego_trt_59
4,treatment,5,6,ego_trt_60
2,treatment,5,7,ego_trt_61
3,treatment,5,8,ego_trt_62
3,treatment,5,9,ego_trt_63
4,treatment,5,10,ego_trt_64
5,treatment,5,11,ego_trt_65
3,treatment,5,12,ego_trt_66
2,treatment,5,13,ego_trt_67
2,treatment,5,14,ego_trt_68
4,treatment,5,15,ego_trt_69
2,treatment,5,16,ego_trt_70
1,treatment,5,17,ego_trt_71
2,treatment,5,18,ego_trt_72
6,treatment,2,1,ego_trt_73
3,treatment,2,2,ego_trt_74
4,treatment,2,3,ego_trt_75
5,treatment,2,4,ego_trt_76
5,treatment,2,5,ego_trt_77
4,treatment,2,6,ego_trt_78
3,treatment,2,7,ego_trt_79
5,treatment,2,8,ego_trt_80
3,treatment,2,9,ego_trt_81
2,treatment,2,10,ego_trt_82
3,treatment,2,11,ego_trt_83
4,treatment,2,12,ego_trt_84
5,treatment,2,13,ego_trt_85
5,treatment,2,14,ego_trt_86
3,treatment,2,15,ego_trt_87
6,treatment,2,16,ego_trt_88
1,treatment,2,17,ego_trt_89
2,treatment,2,18,ego_trt_90
6,treatment,3,1,ego_trt_73
3,treatment,3,2,ego_trt_74
4,treatment,3,3,ego_trt_75
6,treatment,3,4,ego_trt_76
5,treatment,3,5,ego_trt_77
3,treatment,3,6,ego_trt_78
4,treatment,3,7,ego_trt_79
3,treatment,3,8,ego_trt_80
2,treatment,3,9,ego_trt_81
2,treatment,3,10,ego_trt_82
5,treatment,3,11,ego_trt_83
3,treatment,3,12,ego_trt_84
2,treatment,3,13,ego_trt_85
1,treatment,3,14,ego_trt_86
3,treatment,3,15,ego_trt_87
2,treatment,3,16,ego_trt_88
2,treatment,3,17,ego_trt_89
0,treatment,3,18,ego_trt_90
6,treatment,4,1,ego_trt_73
4,treatment,4,2,ego_trt_74
5,treatment,4,3,ego_trt_75
5,treatment,4,4,ego_trt_76
3,treatment,4,5,ego_trt_77
3,treatment,4,6,ego_trt_78
6,treatment,4,7,ego_trt_79
5,treatment,4,8,ego_trt_80
3,treatment,4,9,ego_trt_81
4,treatment,4,10,ego_trt_82
6,treatment,4,11,ego_trt_83
1,treatment,4,12,ego_trt_84
3,treatment,4,13,ego_trt_85
2,treatment,4,14,ego_trt_86
1,treatment,4,15,ego_trt_87
5,treatment,4,16,ego_trt_88
4,treatment,4,17,ego_trt_89
4,treatment,4,18,ego_trt_90
6,treatment,5,1,ego_trt_73
4,treatment,5,2,ego_trt_74
4,treatment,5,3,ego_trt_75
5,treatment,5,4,ego_trt_76
5,treatment,5,5,ego_trt_77
4,treatment,5,6,ego_trt_78
5,treatment,5,7,ego_trt_79
4,treatment,5,8,ego_trt_80
3,treatment,5,9,ego_trt_81
3,treatment,5,10,ego_trt_82
4,treatment,5,11,ego_trt_83
1,treatment,5,12,ego_trt_84
5,treatment,5,13,ego_trt_85
1,treatment,5,14,ego_trt_86
4,treatment,5,15,ego_trt_87
3,treatment,5,16,ego_trt_88
3,treatment,5,17,ego_trt_89
1,treatment,5,18,ego_trt_90
4,treatment,2,1,ego_trt_91
2,treatment,2,2,ego_trt_92
4,treatment,2,3,ego_trt_93
2,treatment,2,4,ego_trt_94
3,treatment,2,5,ego_trt_95
3,treatment,2,6,ego_trt_96
2,treatment,2,7,ego_trt_97
2,treatment,2,8,ego_trt_98
4,treatment,2,9,ego_trt_99
6,treatment,2,10,ego_trt_100
2,treatment,2,11,ego_trt_101
1,treatment,2,12,ego_trt_102
3,treatment,2,13,ego_trt_103
3,treatment,2,14,ego_trt_104
2,treatment,2,15,ego_trt_105
2,treatment,2,16,ego_trt_106
4,treatment,2,17,ego_trt_107
1,treatment,2,18,ego_trt_108
5,treatment,3,1,ego_trt_91
4,treatment,3,2,ego_trt_92
6,treatment,3,3,ego_trt_93
