condition,rating,idea_id,from_ego_id,for_alter_id
notrecommended,2,14712_9,ego_trt_145,alt_16
notrecommended,5,14713_9,ego_trt_145,alt_16
notrecommended,4,14714_9,ego_trt_145,alt_16
notrecommended,5,14715_9,ego_trt_145,alt_16
notrecommended,3,14716_9,ego_trt_145,alt_16
notrecommended,3,14717_9,ego_trt_145,alt_16
notrecommended,2,14752_9,ego_trt_145,alt_33
notrecommended,2,14753_9,ego_trt_145,alt_33
notrecommended,3,14754_9,ego_trt_145,alt_33
notrecommended,4,14755_9,ego_trt_145,alt_33
notrecommended,4,14756_9,ego_trt_145,alt_33
notrecommended,3,14757_9,ego_trt_145,alt_33
recommended,1,14792_9,ego_trt_145,alt_36
recommended,1,14794_9,ego_trt_145,alt_36
recommended,1,14795_9,ego_trt_145,alt_36
recommended,2,14796_9,ego_trt_145,alt_36
recommended,2,14797_9,ego_trt_145,alt_36
notrecommended,3,14832_9,ego_trt_145,alt_15
notrecommended,3,14833_9,ego_trt_145,alt_15
notrecommended,1,14834_9,ego_trt_145,alt_15
notrecommended,2,14835_9,ego_trt_145,alt_15
notrecommended,4,14837_9,ego_trt_145,alt_15
notrecommended,3,14872_9,ego_trt_145,alt_29
notrecommended,2,14873_9,ego_trt_145,alt_29
notrecommended,2,14874_9,ego_trt_145,alt_29
notrecommended,3,14875_9,ego_trt_145,alt_29
notrecommended,4,14876_9,ego_trt_145,alt_29
notrecommended,3,14877_9,ego_trt_145,alt_29
recommended,4,14912_9,ego_trt_145,alt_6
recommended,2,14913_9,ego_trt_145,alt_6
recommended,2,14914_9,ego_trt_145,alt_6
recommended,2,14915_9,ego_trt_145,alt_6
recommended,4,14916_9,ego_trt_145,alt_6
recommended,3,14917_9,ego_trt_145,alt_6
recommended,4,14712_9,ego_trt_154,alt_16
recommended,5,14713_9,ego_trt_154,alt_16
recommended,5,14714_9,ego_trt_154,alt_16
recommended,5,14715_9,ego_trt_154,alt_16
recommended,4,14716_9,ego_trt_154,alt_16
recommended,5,14717_9,ego_trt_154,alt_16
recommended,4,14752_9,ego_trt_154,alt_33
recommended,4,14753_9,ego_trt_154,alt_33
recommended,3,14754_9,ego_trt_154,alt_33
recommended,5,14755_9,ego_trt_154,alt_33
recommended,5,14756_9,ego_trt_154,alt_33
recommended,2,14757_9,ego_trt_154,alt_33
notrecommended,3,14792_9,ego_trt_154,alt_36
notrecommended,5,14794_9,ego_trt_154,alt_36
notrecommended,5,14795_9,ego_trt_154,alt_36
notrecommended,3,14796_9,ego_trt_154,alt_36
notrecommended,4,14797_9,ego_trt_154,alt_36
notrecommended,4,14832_9,ego_trt_154,alt_15
notrecommended,3,14833_9,ego_trt_154,alt_15
notrecommended,3,14834_9,ego_trt_154,alt_15
notrecommended,3,14835_9,ego_trt_154,alt_15
notrecommended,3,14837_9,ego_trt_154,alt_15
notrecommended,4,14872_9,ego_trt_154,alt_29
notrecommended,3,14873_9,ego_trt_154,alt_29
notrecommended,4,14874_9,ego_trt_154,alt_29
notrecommended,4,14875_9,ego_trt_154,alt_29
notrecommended,2,14876_9,ego_trt_154,alt_29
notrecommended,5,14877_9,ego_trt_154,alt_29
notrecommended,4,14912_9,ego_trt_154,alt_6
notrecommended,3,14913_9,ego_trt_154,alt_6
notrecommended,4,14914_9,ego_trt_154,alt_6
notrecommended,3,14915_9,ego_trt_154,alt_6
notrecommended,4,14916_9,ego_trt_154,alt_6
notrecommended,4,14917_9,ego_trt_154,alt_6
recommended,3,14712_9,ego_trt_151,alt_16
recommended,1,14713_9,ego_trt_151,alt_16
recommended,3,14714_9,ego_trt_151,alt_16
recommended,4,14715_9,ego_trt_151,alt_16
recommended,1,14716_9,ego_trt_151,alt_16
recommended,3,14717_9,ego_trt_151,alt_16
recommended,2,14752_9,ego_trt_151,alt_33
recommended,3,14753_9,ego_trt_151,alt_33
recommended,2,14754_9,ego_trt_151,alt_33
recommended,2,14755_9,ego_trt_151,alt_33
recommended,1,14756_9,ego_trt_151,alt_33
recommended,1,14757_9,ego_trt_151,alt_33
notrecommended,1,14792_9,ego_trt_151,alt_36
notrecommended,1,14794_9,ego_trt_151,alt_36
notrecommended,1,14795_9,ego_trt_151,alt_36
notrecommended,2,14796_9,ego_trt_151,alt_36
notrecommended,1,14797_9,ego_trt_151,alt_36
notrecommended,1,14832_9,ego_trt_151,alt_15
notrecommended,1,14833_9,ego_trt_151,alt_15
notrecommended,1,14834_9,ego_trt_151,alt_15
notrecommended,1,14835_9,ego_trt_151,alt_15
notrecommended,1,14837_9,ego_trt_151,alt_15
notrecommended,1,14872_9,ego_trt_151,alt_29
notrecommended,1,14873_9,ego_trt_151,alt_29
notrecommended,2,14874_9,ego_trt_151,alt_29
notrecommended,2,14875_9,ego_trt_151,alt_29
notrecommended,2,14876_9,ego_trt_151,alt_29
notrecommended,1,14877_9,ego_trt_151,alt_29
notrecommended,1,14912_9,ego_trt_151,alt_6
notrecommended,1,14913_9,ego_trt_151,alt_6
notrecommended,1,14914_9,ego_trt_151,alt_6
notrecommended,1,14915_9,ego_trt_151,alt_6
notrecommended,1,14916_9,ego_trt_151,alt_6
notrecommended,1,14917_9,ego_trt_151,alt_6
notrecommended,4,14712_9,ego_trt_155,alt_16
notrecommended,1,14713_9,ego_trt_155,alt_16
notrecommended,1,14714_9,ego_trt_155,alt_16
notrecommended,1,14715_9,ego_trt_155,alt_16
notrecommended,1,14716_9,ego_trt_155,alt_16
notrecommended,2,14717_9,ego_trt_155,alt_16
recommended,1,14752_9,ego_trt_155,alt_33
recommended,3,14753_9,ego_trt_155,alt_33
recommended,3,14754_9,ego_trt_155,alt_33
recommended,5,14755_9,ego_trt_155,alt_33
recommended,1,14756_9,ego_trt_155,alt_33
recommended,3,14757_9,ego_trt_155,alt_33
recommended,4,14792_9,ego_trt_155,alt_36
recommended,1,14794_9,ego_trt_155,alt_36
recommended,2,14795_9,ego_trt_155,alt_36
recommended,3,14796_9,ego_trt_155,alt_36
recommended,3,14797_9,ego_trt_155,alt_36
notrecommended,2,14832_9,ego_trt_155,alt_15
notrecommended,3,14833_9,ego_trt_155,alt_15
notrecommended,3,14834_9,ego_trt_155,alt_15
notrecommended,3,14835_9,ego_trt_155,alt_15
notrecommended,3,14837_9,ego_trt_155,alt_15
notrecommended,3,14872_9,ego_trt_155,alt_29
notrecommended,3,14873_9,ego_trt_155,alt_29
notrecommended,3,14874_9,ego_trt_155,alt_29
notrecommended,4,14875_9,ego_trt_155,alt_29
notrecommended,2,14876_9,ego_trt_155,alt_29
notrecommended,3,14877_9,ego_trt_155,alt_29
notrecommended,3,14912_9,ego_trt_155,alt_6
notrecommended,3,14913_9,ego_trt_155,alt_6
notrecommended,1,14914_9,ego_trt_155,alt_6
notrecommended,2,14915_9,ego_trt_155,alt_6
notrecommended,3,14916_9,ego_trt_155,alt_6
notrecommended,2,14917_9,ego_trt_155,alt_6
recommended,5,14720_9,ego_trt_145,alt_16
recommended,4,14721_9,ego_trt_145,alt_16
