condition,round,semdis,id
control,2,1.05267,ego_ctrl_1
control,2,0.94848,ego_ctrl_2
control,2,1.0212,ego_ctrl_3
control,2,0.91427,ego_ctrl_4
control,2,0.9848,ego_ctrl_5
control,2,0.99296,ego_ctrl_6
control,2,0.99964,ego_ctrl_7
control,2,0.98138,ego_ctrl_8
control,2,0.99303,ego_ctrl_9
control,2,0.93396,ego_ctrl_10
control,2,0.97057,ego_ctrl_11
control,2,1.01011,ego_ctrl_12
control,2,0.99486,ego_ctrl_13
control,2,0.9759,ego_ctrl_14
control,2,1.00794,ego_ctrl_15
control,2,0.98522,ego_ctrl_16
control,2,0.99762,ego_ctrl_17
control,2,1.01967,ego_ctrl_18
control,2,0.96008,ego_ctrl_19
control,2,1.05084,ego_ctrl_20
control,2,1.03521,ego_ctrl_21
control,2,1.06301,ego_ctrl_22
control,2,1.04031,ego_ctrl_23
control,2,1.0665,ego_ctrl_24
control,2,1.01029,ego_ctrl_25
control,2,0.97451,ego_ctrl_26
control,2,1.02934,ego_ctrl_27
control,2,1.02919,ego_ctrl_28
control,2,1.04815,ego_ctrl_29
control,2,0.98573,ego_ctrl_30
control,2,1.07576,ego_ctrl_31
control,2,0.98606,ego_ctrl_32
control,2,1.09582,ego_ctrl_33
control,2,0.92484,ego_ctrl_34
control,2,1.0944,ego_ctrl_35
control,2,1.03197,ego_ctrl_36
control,2,1.12394,ego_ctrl_37
control,2,1.04699,ego_ctrl_38
control,2,0.95833,ego_ctrl_39
control,2,1.05601,ego_ctrl_40
control,2,1.10245,ego_ctrl_41
control,2,1.04062,ego_ctrl_42
control,2,1.00768,ego_ctrl_43
control,2,1.04749,ego_ctrl_44
control,2,1.05437,ego_ctrl_45
control,2,1.041,ego_ctrl_46
control,2,1.04913,ego_ctrl_47
control,2,1.04939,ego_ctrl_48
control,2,1.12936,ego_ctrl_49
control,2,1.11205,ego_ctrl_50
control,2,1.10073,ego_ctrl_51
control,2,1.02655,ego_ctrl_52
control,2,1.02082,ego_ctrl_53
control,2,0.98118,ego_ctrl_54
control,2,1.02406,ego_ctrl_55
control,2,1.026,ego_ctrl_56
control,2,1.08097,ego_ctrl_57
control,2,1.07258,ego_ctrl_58
control,2,1.05897,ego_ctrl_59
control,2,1.05332,ego_ctrl_60
control,2,1.14346,ego_ctrl_61
